01.txt:196:talk "俺","「……」"
01.txt:197:talk "ミオ","「そんな怖い顔しないでよ。まだ死ぬわけじゃないんだし」"
01.txt:198:talk "俺","「だとしても……」"\
01.txt:201:talk "ミオ","「心配してくれて嬉しいよ。なんてね」"
01.txt:203:talk "俺","「……じゃあ、あの話はどうなる」"
01.txt:204:talk "ミオ","「どの話？」"\
01.txt:206:talk "俺","「旅行だよ。ずっと授業中にノートに書いてたからさ、少し気になって」"
01.txt:207:talk "ミオ","「……あぁ、あのノートのことか」"
01.txt:208:talk "ミオ","「北海道の森に行って、駅弁のいかめし食べたいとか……」"\
01.txt:211:talk "ミオ","「……でも、もういいよ。そんなのただの夢だもん。先生も絶対ダメだって言うだろうし。」"\
01.txt:212:talk "ミオ", "「私、もうすぐ部屋から出られなくなっちゃうから。」"\
01.txt:215:talk "俺","「だったら」"
01.txt:217:talk "俺","「俺が、お前の最後の旅に付き合ってやる」"\
01.txt:221:talk "ミオ","「……えっ？」"
01.txt:222:talk "俺","「まだ死なないんだろ？」"\
01.txt:225:talk "ミオ","「うん……」"
01.txt:226:talk "俺","「じゃあ、行くぞ」"\
02.txt:17:talk "ミオ","「本当に行くんだね……」"\
02.txt:18:talk "俺","「そりゃそうさ。君が提案したんだろ？」"\
02.txt:19:talk "ミオ","「いやまあそうだけどさ……」"\
02.txt:22:talk "ミオ","「親に怒られないかなって話だよ～」"\
02.txt:23:talk "俺","「そんなの知らないさ。そもそももう家に帰らないって決意したんじゃないのか？」"\
02.txt:32:talk "ミオ","「もう嫌になってきたよ……」"\
02.txt:33:talk "俺","「この旅をしようって最初に言ったのはどっちだったっけな……」"\
02.txt:34:talk "俺","「先が思いやられるよ……」"\
02.txt:43:talk "俺","「ちょっとミオさ、お前のカバンには何入ってるんだ」"\
02.txt:44:talk "ミオ","「私っ？えぇっとね……"\
02.txt:46:talk "ミオ","「お薬入れる巾着とね、日記帳とね、着替えとね、MDだったり、鏡とか……"\
02.txt:49:talk "ミオ","「あとは本かなっ」"\
02.txt:50:talk "俺","「そうか」"\
02.txt:51:talk "俺","「……とりあえず西に向かうぞ。今日の目標は岡山だ」"\
02.txt:52:talk "ミオ","「岡山って言ったら桃太郎だよねっ」"\
02.txt:53:talk "俺","「確かに岡山と言ったら桃太郎だよな。だが、そこに向かうだけなら面白くないよな。」"\
02.txt:54:talk "俺","「お前、降りたいとこあったら教えてくれよな」"
02.txt:55:talk "ミオ","「わかったっ」"\
02.txt:60:talk "ミオ","「岡山か。きび団子、食べれたらいいな～」"\
02.txt:61:talk "俺","「……お前って医師に食事制限とかされてるのか？」"\
02.txt:62:talk "ミオ","「そりゃあされてるよっ。なんせ病人ですからね」"\
02.txt:66:talk "ミオ","「例えば『食事前にこの薬を飲んでくださいね』とか、『刺激物は控えるように』とは言われてるねぇ～」"\
02.txt:67:talk "俺","「そりゃあ大変だ」"\
02.txt:68:talk "ミオ","「無骨な回答だなぁ……もっと心配してくれてもいいのに」"\
02.txt:69:talk "俺","「そもそもお前、薬は持ってきたのか？」"\
02.txt:70:talk "ミオ","「そんなの当たり前でしょう。とりあえず家にある分は持ってきたよ。足りなくなったらまた考えよっ！」"\
02.txt:72:talk "俺","「ああ、そうだな。とりあえずはいろいろなところに旅して、警察に捕まらないことだ」"\
02.txt:77:talk "ミオ","「座れててよかったね」"\
02.txt:79:talk "俺","「そうだな。こんな混雑の中、立ってるなんてお前は旅が嫌になるだろうな」"\
02.txt:80:talk "ミオ","「バカにしてるのかなぁ……さすがにこのぐらいなら音をあげませんよっ」"\
02.txt:84:talk "ミオ","「なんだよその顔は！　信じてない顔だな！」"\
02.txt:85:talk "俺","「そりゃあ信じないよ……お前、電車に乗る前に混雑見て『もう嫌になってきたよ』とかほざいてたクセに」"\
02.txt:93:talk "俺","「どうして顔を隠すんだよ」"\
02.txt:94:talk "ミオ","「写真、嫌いなの」"\
02.txt:95:talk "俺","「なんでだ？」"\
02.txt:96:talk "ミオ","「私あんまかわいくないし……風景でも撮りなよ……」"\
02.txt:102:talk "俺","「よし、撮れた」"\
02.txt:103:talk "ミオ","「見せて見せてっ」"\
02.txt:116:talk "俺","「ミオ、なんか買いたいものあるか？」"\
02.txt:117:talk "ミオ","「そうだねぇ……とりあえずお薬飲むためのお水と、やっぱ駅弁かな。そんなにお金あるなら、豪遊しちゃお！」"\
02.txt:118:talk "俺","「後でお金足らなくなったらお前のせいにするからな」"\
02.txt:121:talk "俺","「ミオ、鯛は食えるよな？」"\
02.txt:122:talk "ミオ","「食えるとも。なんなら大好物でしてよ」"\
02.txt:126:talk "おばあちゃん","「今日、学校はどうしたの？　お休みかい？」"\
02.txt:127:talk "俺","「そうなんですよ。学校休んで旅行です」"\
02.txt:130:talk "おばあちゃん","「そんな子供が一万円札なんてどうしたのかしら？　ご両親からもらったの？」"\
02.txt:131:talk "俺","「あはは……そうなんですよね……」"\
02.txt:133:talk "おばあちゃん","「じゃあこれ、お釣りね」"\
02.txt:141:talk "俺","「乗るぞ」"\
02.txt:148:talk "俺","「鯛めし食うのはもっと後にしようぜ」"\
02.txt:149:talk "ミオ","「そりゃそうだよ。こんな朝からみんなが通勤してる中、美味しいご飯食べるなんて罪だよ」"\
02.txt:151:talk "俺","「そんなわざわざ自慢するようにしなくていいから……」"\
02.txt:166:talk "俺","「なあ、ミオ。体調キツくなったら伝えてくれよな」"\
02.txt:167:talk "ミオ","「わかってるよ。そんな心配しなくていいんだよ……」"\
02.txt:168:talk "俺","「まだお前、死なないよな……？」"\
02.txt:174:talk "ミオ","「鯛めし、どこで食べよっか」"\
02.txt:175:talk "俺","「そうだな……とりあえず次降りたらにしようぜ。ゆったり食べたいからな」"\
02.txt:176:talk "ミオ","「わかったっ。まだお腹空いてないけど、その頃には空くといいなぁ」"\
02.txt:177:talk "俺","「…………俺も腹減らねえな。ずっと座ってるだけだし、栄養も使わないしな」"\
02.txt:196:talk "俺","「とりあえずさ、座れるところ行こうぜ」"\
02.txt:197:talk "ミオ", "「そうだね。電車にずっと乗ってたらお腹空いてきちゃったしねっ！」"\
02.txt:199:talk "ミオ","「どのベンチも埋まってるね……」"\
02.txt:200:talk "俺","「そうだな……」"\
02.txt:205:talk "ミオ","「あ、ねえねえ。あそこちょうど２人分空いてるよ！　早く行こっ！」"\
02.txt:207:talk "俺","「よし、行くぞ！」"\
02.txt:211:talk "ミオ","「やっとだよぉ……」"\
02.txt:212:talk "俺","「お前も流石に腹減ったか」"\
02.txt:213:talk "ミオ","「そりゃあそうだよ……あんなに電車に居たらお腹すくよっ」"\
02.txt:214:talk "俺","「薬、忘れないようにな」"\
02.txt:215:talk "ミオ","「わかってますよ」"\
02.txt:219:talk "俺","「俺も喉乾いたし、飲むか」"\
02.txt:222:talk "ミオ","「ねえ、ちゃんと手拭かないとだよ」"\
02.txt:223:talk "俺","「そんぐらいどうでもいいだろ。さっさと食おうぜ」"\
02.txt:224:talk "ミオ","「そんなことしてたら風邪ひいちゃうよ……」"\
02.txt:225:talk "俺","「そんなことで風邪はひかねえよ。安心しろって」"\
02.txt:234:talk "ミオ","「んーっ！　やっぱ鯛は美味しいねぇ……」"\
02.txt:235:talk "ミオ","「これでご飯があったかかったらいいのになぁ……」"\
02.txt:236:talk "俺","「弁当だから仕方ないだろ……でも岡山着いたら美味しいご飯食べに行こうな」"\
02.txt:237:talk "ミオ","「うん！」"\
02.txt:242:talk "ミオ","「もう食べ終わったの？　そんなに急いでもまだまだ時間あるのにっ」"\
02.txt:243:talk "俺","「お前が遅すぎるだけだ、俺は急いでねえぞ」"\
